School,Nickname,Home arena,Conference,Tournament appearances,Final Four appearances,Championship wins
"State University of New York at Albany (Albany, UAlbany)",Great Danes,SEFCU Arena,America East,"(5) 2006, 2007, 2013, 2014, 2015",(0),(0)
State University of New York at Binghamton,Bearcats,Binghamton University Events Center,America East,(1) 2009,(0),(0)
Bryant University,Bulldogs,Chace Athletic Center,America East,(1) 2022,(0),(0)
University of Maine (UMaine),Black Bears,Memorial Gymnasium,America East,(0),(0),(0)
"University of Maryland, Baltimore County (UMBC)",Retrievers,Chesapeake Employers Insurance Arena,America East,"(2) 2008, 2018",(0),(0)
University of Massachusetts Lowell (UMass Lowell),River Hawks,Tsongas Center at UMass Lowell/Costello Athletic Center,America East,(0),(0),(0)
University of New Hampshire,Wildcats,Lundholm Gym,America East,(0),(0),(0)
New Jersey Institute of Technology (NJIT),Highlanders,Wellness and Events Center,America East,(0),(0),(0)
The University of Vermont and State Agricultural College,Catamounts,Patrick Gym,America East,"(9) 2003, 2004, 2005, 2010, 2012, 2017, 2019, 2022, 2023",(0),(0)
University of North Carolina at Charlotte (Charlotte),49ers,Dale F. Halton Arena,The American,"(11) 1977, 1988, 1992, 1995, 1997, 1998, 1999, 2001, 2002, 2004, 2005",(1) 1977,(0)
East Carolina University (ECU),Pirates,Williams Arena at Minges Coliseum,The American,"(2) 1972, 1993",(0),(0)
Florida Atlantic University (FAU),Owls,Eleanor R. Baldwin Arena,The American,"(2) 2002, 2023",(1) 2023,(0)
University of Memphis (U of M),Tigers,FedExForum,The American,"(28) 1955, 1956, 1962, 1973, 1976, 1982*, 1983*, 1984*, 1985*, 1986*, 1988, 1989, 1992, 1993, 1995, 1996, 2003, 2004, 2006, 2007, 2008*, 2009, 2011, 2012, 2013, 2014, 2022, 2023","(3) 1973, 1985*, 2008*",(0)
University of North Texas (UNT),Mean Green,UNT Coliseum,The American,"(4) 1988, 2007, 2010, 2021",(0),(0)
William Marsh Rice University,Owls,Tudor Fieldhouse,The American,"(4) 1940, 1942, 1954, 1970",(0),(0)
University of South Florida (USF),Bulls,Yuengling Center,The American,"(3) 1990, 1992, 2012",(0),(0)
Southern Methodist University (SMU),Mustangs,Moody Coliseum,The American,"(12) 1955, 1956, 1957, 1965, 1966, 1967, 1984, 1985, 1988, 1993, 2015, 2017",(1) 1956,(0)
Temple University,Owls,Liacouras Center,The American,"(32) 1944, 1956, 1958, 1964, 1967, 1970, 1972, 1979, 1984, 1985, 1986, 1987, 1988, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2008, 2009, 2010, 2011, 2012, 2013, 2016, 2019","(2) 1956, 1958",(0)
University of Alabama at Birmingham (UAB),Blazers,Bartow Arena,The American,"(16) 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1990, 1994, 1999, 2004, 2005, 2006, 2011, 2015, 2022",(0),(0)
