School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference
Abilene Christian University,Abilene Christian,Wildcats,Abilene,TX,Private,FCS,Western Athletic Conference
Alabama Agricultural and Mechanical University,Alabama A&M,Bulldogs,Normal,AL,Public,FCS,Southwestern Athletic Conference
Alabama State University,Alabama State,Hornets,Montgomery,AL,Public,FCS,Southwestern Athletic Conference
Alcorn State University,Alcorn State,Braves,Lorman,MS,Public,FCS,Southwestern Athletic Conference
American University,American,Eagles,Washington,DC,Private,Non-football,Patriot League
Appalachian State University,Appalachian State,Mountaineers,Boone,NC,Public,FBS,Sun Belt Conference
Arizona State University,Arizona State,Sun Devils,Tempe,AZ,Public,FBS,Pac-12 Conference
Arkansas State University,Arkansas State,Red Wolves,Jonesboro,AR,Public,FBS,Sun Belt Conference
Auburn University,Auburn,Tigers,Auburn,AL,Public,FBS,Southeastern Conference
Austin Peay State University,Austin Peay,Governors,Clarksville,TN,Public,FCS,ASUN Conference
Ball State University,Ball State,Cardinals,Muncie,IN,Public,FBS,Mid-American Conference
Baylor University,Baylor,Bears,Waco,TX,Private,FBS,Big 12 Conference
Bellarmine University,Bellarmine,Knights,Louisville,KY,Private,Non-football,ASUN Conference 
Belmont University,Belmont,Bruins,Nashville,TN,Private,Non-football,Missouri Valley Conference
Bethune–Cookman University,Bethune–Cookman,Wildcats,Daytona Beach,FL,Private,FCS,Southwestern Athletic Conference
Boise State University,Boise State,Broncos,Boise,ID,Public,FBS,Mountain West Conference
Boston College,Boston College,Eagles,Chestnut Hill,MA,Private,FBS,Atlantic Coast Conference
Boston University,Boston University,Terriers,Boston,MA,Private,Non-football,Patriot League
Bowling Green State University,Bowling Green,Falcons,Bowling Green,OH,Public,FBS,Mid-American Conference
Bradley University,Bradley,Braves,Peoria,IL,Private,Non-football,Missouri Valley Conference
Brigham Young University,BYU,Cougars,Provo,UT,Private,FBS,Big 12 Conference
Brown University,Brown,Bears,Providence,RI,Private,FCS,Ivy League
Bryant University,Bryant,Bulldogs,Smithfield,RI,Private,FCS,America East Conference
Bucknell University,Bucknell,Bison,Lewisburg,PA,Private,FCS,Patriot League
Butler University,Butler,Bulldogs,Indianapolis,IN,Private,FCS,Big East Conference
California Baptist University,Cal Baptist,Lancers,Riverside,CA,Private,Non-football,Western Athletic Conference
California Polytechnic State University,Cal Poly,Mustangs,San Luis Obispo,CA,Public,FCS,Big West Conference
"California State University, Bakersfield",Bakersfield,Roadrunners,Bakersfield,CA,Public,Non-football,Big West Conference
"California State University, Fresno",Fresno State,Bulldogs,Fresno,CA,Public,FBS,Mountain West Conference
"California State University, Fullerton",Cal State Fullerton,Titans,Fullerton,CA,Public,Non-football,Big West Conference
"California State University, Long Beach",Long Beach State,Beach,Long Beach,CA,Public,Non-football,Big West Conference
"California State University, Northridge",Cal State Northridge,Matadors,Northridge,CA,Public,Non-football,Big West Conference
"California State University, Sacramento",Sacramento State,Hornets,Sacramento,CA,Public,FCS,Big Sky Conference
Campbell University,Campbell,Fighting Camels,Buies Creek,NC,Private,FCS,Coastal Athletic Association
Canisius University,Canisius,Golden Griffins,Buffalo,NY,Private,Non-football,Metro Atlantic Athletic Conference
Central Connecticut State University,Central Connecticut,Blue Devils,New Britain,CT,Public,FCS,Northeast Conference
Central Michigan University,Central Michigan,Chippewas,Mount Pleasant,MI,Public,FBS,Mid-American Conference
Charleston Southern University,Charleston Southern,Buccaneers,North Charleston,SC,Private,FCS,Big South Conference
Chicago State University,Chicago State,Cougars,Chicago,IL,Public,Non-football,Independent
Clemson University,Clemson,Tigers,Clemson,SC,Public,FBS,Atlantic Coast Conference
