DATE,TEAM,OPP.,VENUE,RESULT
20141114,Dayton,Alabama A&M,H,24
20141114,Oklahoma St.,Southeastern Louisia,H,28
20141114,Purdue,Samford,H,40
20141114,Creighton,Central Arkansas,H,27
20141114,Fresno St.,Pepperdine,A,-15
20141114,Louisville,Minnesota,N,13
20141114,Boston College,New Hampshire,H,8
20141114,Murray St.,Houston,H,-3
20141114,Duke,Presbyterian,H,69
20141114,North Carolina St.,Jackson St.,H,35
20141114,Maryland Eastern Sho,Virginia Tech,A,-25
20141114,UMass Lowell,Ohio St.,A,-37
20141114,Rider,Princeton,N,-6
20141114,Virginia Tech,Maryland Eastern Sho,H,25
20141114,Loyola MD,Texas Tech,A,-12
20141114,Charleston Southern,Mississippi,A,1
20141114,Wofford,Stanford,A,-15
20141114,Wright St.,Belmont,H,3
20141114,Utah St.,Weber St.,H,11
20141114,Drexel,Colorado,A,-17
20141114,William & Mary,Florida,A,-23
20141114,Richmond,Radford,H,18
20141114,Western Carolina,Mississippi St.,A,-10
20141114,Eastern Kentucky,Savannah St.,H,23
20141114,UMBC,Akron,A,-17
20141114,Southeast Missouri S,Loyola Marymount,A,-10
20141114,Siena,Massachusetts,A,-8
20141114,North Florida,South Carolina,A,-25
20141114,Air Force,Army,A,-6
20141114,Jacksonville,Hofstra,A,-33
20141114,Niagara,Pittsburgh,A,-33
20141114,High Point,Cal St. Bakersfield,N,1
20141114,UNLV,Morehead St.,H,1
20141114,Illinois,Georgia Southern,H,9
20141114,College of Charlesto,Furman,A,35
20141114,Indiana,Mississippi Valley S,H,51
20141114,Massachusetts,Siena,H,8
20141114,Milwaukee,Auburn,A,-10
20141114,Xavier,Northern Arizona,H,33
20141114,North Carolina Centr,North Carolina,A,-16
20141114,Marist,Bucknell,A,-3
20141114,Howard,Miami FL,A,-35
20141114,Cleveland St.,Iona,A,-5
20141114,San Diego St.,Cal St. Northridge,H,21
20141114,Florida A&M,Clemson,A,-45
20141114,Pittsburgh,Niagara,H,33
20141114,Michigan St.,Navy,A,5
20141114,Savannah St.,Eastern Kentucky,A,-23
20141114,Oakland,Iowa St.,A,-11
20141114,Iowa,Hampton,H,34
20141114,Quinnipiac,Yale,H,4
20141114,New Mexico,Idaho St.,H,24
20141114,Wisconsin,Northern Kentucky,H,31
20141114,Towson,Alabama,A,-28
