ID,School,Common Name,Nickname,City,State,Type,Subdivision,Primary Conference,Tournament appearances,Final Four appearances,Championship wins
1,Abilene Christian University,Abilene Christian,Wildcats,Abilene,TX,Private,FCS,Western Athletic Conference,2,0,0
2,Alabama Agricultural and Mechanical University,Alabama A&M,Bulldogs,Normal,AL,Public,FCS,Southwestern Athletic Conference,1,0,0
3,Alabama State University,Alabama State,Hornets,Montgomery,AL,Public,FCS,Southwestern Athletic Conference,4,0,0
4,Alcorn State University,Alcorn State,Braves,Lorman,MS,Public,FCS,Southwestern Athletic Conference,6,0,0
5,American University,American,Eagles,Washington,DC,Private,Non-football,Patriot League,3,0,0
6,Appalachian State University,Appalachian State,Mountaineers,Boone,NC,Public,FBS,Sun Belt Conference,3,0,0
7,Arizona State University,Arizona State,Sun Devils,Tempe,AZ,Public,FBS,Pac-12 Conference,17,0,0
8,Arkansas State University,Arkansas State,Red Wolves,Jonesboro,AR,Public,FBS,Sun Belt Conference,1,0,0
9,Auburn University,Auburn,Tigers,Auburn,AL,Public,FBS,Southeastern Conference,12,1,0
10,Austin Peay State University,Austin Peay,Governors,Clarksville,TN,Public,FCS,ASUN Conference,7,0,0
11,Ball State University,Ball State,Cardinals,Muncie,IN,Public,FBS,Mid-American Conference,7,0,0
12,Baylor University,Baylor,Bears,Waco,TX,Private,FBS,Big 12 Conference,15,3,1
13,Bellarmine University,Bellarmine,Knights,Louisville,KY,Private,Non-football,ASUN Conference ,0,0,0
14,Belmont University,Belmont,Bruins,Nashville,TN,Private,Non-football,Missouri Valley Conference,8,0,0
15,Bethune–Cookman University,Bethune–Cookman,Wildcats,Daytona Beach,FL,Private,FCS,Southwestern Athletic Conference,0,0,0
16,Boise State University,Boise State,Broncos,Boise,ID,Public,FBS,Mountain West Conference,9,0,0
17,Boston College,Boston College,Eagles,Chestnut Hill,MA,Private,FBS,Atlantic Coast Conference,18,0,0
18,Boston University,Boston University,Terriers,Boston,MA,Private,Non-football,Patriot League,7,0,0
19,Bowling Green State University,Bowling Green,Falcons,Bowling Green,OH,Public,FBS,Mid-American Conference,4,0,0
20,Bradley University,Bradley,Braves,Peoria,IL,Private,Non-football,Missouri Valley Conference,9,2,0
21,Brigham Young University,BYU,Cougars,Provo,UT,Private,FBS,Big 12 Conference,30,0,0
22,Brown University,Brown,Bears,Providence,RI,Private,FCS,Ivy League,2,0,0
23,Bryant University,Bryant,Bulldogs,Smithfield,RI,Private,FCS,America East Conference,1,0,0
24,Bucknell University,Bucknell,Bison,Lewisburg,PA,Private,FCS,Patriot League,8,0,0
25,Butler University,Butler,Bulldogs,Indianapolis,IN,Private,FCS,Big East Conference,16,2,0
26,California Baptist University,Cal Baptist,Lancers,Riverside,CA,Private,Non-football,Western Athletic Conference,0,0,0
27,California Polytechnic State University,Cal Poly,Mustangs,San Luis Obispo,CA,Public,FCS,Big West Conference,1,0,0
28,"California State University, Bakersfield",Bakersfield,Roadrunners,Bakersfield,CA,Public,Non-football,Big West Conference,1,0,0
29,"California State University, Fresno",Fresno State,Bulldogs,Fresno,CA,Public,FBS,Mountain West Conference,6,0,0
30,"California State University, Fullerton",Cal State Fullerton,Titans,Fullerton,CA,Public,Non-football,Big West Conference,4,0,0
31,"California State University, Long Beach",Long Beach State,The Beach,Long Beach,CA,Public,Non-football,Big West Conference,9,0,0
32,"California State University, Northridge",Cal State Northridge,Matadors,Northridge,CA,Public,Non-football,Big West Conference,2,0,0
33,"California State University, Sacramento",Sacramento State,Hornets,Sacramento,CA,Public,FCS,Big Sky Conference,0,0,0
34,Campbell University,Campbell,Fighting Camels,Buies Creek,NC,Private,FCS,Coastal Athletic Association,1,0,0
35,Canisius University,Canisius,Golden Griffins,Buffalo,NY,Private,Non-football,Metro Atlantic Athletic Conference,4,0,0
36,Central Connecticut State University,Central Connecticut,Blue Devils,New Britain,CT,Public,FCS,Northeast Conference,3,0,0
37,Central Michigan University,Central Michigan,Chippewas,Mount Pleasant,MI,Public,FBS,Mid-American Conference,4,0,0
38,Charleston Southern University,Charleston Southern,Buccaneers,North Charleston,SC,Private,FCS,Big South Conference,1,0,0
39,Chicago State University,Chicago State,Cougars,Chicago,IL,Public,Non-football,Independent,0,0,0
40,Clemson University,Clemson,Tigers,Clemson,SC,Public,FBS,Atlantic Coast Conference,13,0,0
41,Cleveland State University,Cleveland State,Vikings,Cleveland,OH,Public,Non-football,Horizon League,3,0,0
42,Coastal Carolina University,Coastal Carolina,Chanticleers,Conway,SC,Public,FBS,Sun Belt Conference,4,0,0
43,Colgate University,Colgate,Raiders,Hamilton,NY,Private,FCS,Patriot League,6,0,0
44,College of Charleston,Charleston,Cougars,Charleston,SC,Public,Non-football,Coastal Athletic Association,6,0,0
45,College of the Holy Cross,Holy Cross,Crusaders,Worcester,MA,Private,FCS,Patriot League,13,2,1
46,Colorado State University,Colorado State,Rams,Fort Collins,CO,Public,FBS,Mountain West Conference,11,0,0
47,Columbia University in the City of New York,Columbia,Lions,New York,NY,Private,FCS,Ivy League,3,0,0
48,Coppin State University,Coppin State,Eagles,Baltimore,MD,Public,Non-football,Mid-Eastern Athletic Conference,4,0,0
49,Cornell University,Cornell,Big Red,Ithaca,NY,Private,FCS,Ivy League,5,0,0
50,Creighton University,Creighton,Bluejays,Omaha,NE,Private,Non-football,Big East Conference,24,0,0
51,Dartmouth College,Dartmouth,Big Green,Hanover,NH,Private,FCS,Ivy League,7,2,0
52,Davidson College,Davidson,Wildcats,Davidson,NC,Private,FCS,Atlantic 10 Conference,15,0,0
53,DePaul University,DePaul,Blue Demons,Chicago,IL,Private,Non-football,Big East Conference,22,2,0
54,Delaware State University,Delaware State,Hornets,Dover,DE,Public,FCS,Mid-Eastern Athletic Conference,1,0,0
55,Drake University,Drake,Bulldogs,Des Moines,IA,Private,FCS,Missouri Valley Conference,6,1,0
56,Drexel University,Drexel,Dragons,Philadelphia,PA,Private,Non-football,Coastal Athletic Association,5,0,0
57,Duke University,Duke,Blue Devils,Durham,NC,Private,FBS,Atlantic Coast Conference,45,17,5
58,Duquesne University of the Holy Spirit,Duquesne,Dukes,Pittsburgh,PA,Private,FCS,Atlantic 10 Conference,5,1,0
59,East Carolina University,East Carolina,Pirates,Greenville,NC,Public,FBS,American Athletic Conference,2,0,0
60,East Tennessee State University,East Tennessee State,Buccaneers,Johnson City,TN,Public,FCS,Southern Conference,10,0,0
