ID,Team
1,Abilene Christian
241,Air Force
224,Akron
225,Alabama
2,Alabama A&M
3,Alabama St.
199,Albany
4,Alcorn St.
5,American
6,Appalachian St.
245,Arizona
7,Arizona St.
246,Arkansas
248,Arkansas Pine Bluff
8,Arkansas St.
242,Army
9,Auburn
10,Austin Peay
21,BYU
11,Ball St.
12,Baylor
13,Bellarmine
14,Belmont
15,Bethune Cookman
200,Binghamton
16,Boise St.
17,Boston College
18,Boston University
19,Bowling Green
20,Bradley
22,Brown
23,Bryant
24,Bucknell
201,Buffalo
25,Butler
26,Cal Baptist
27,Cal Poly
28,Cal St. Bakersfield
30,Cal St. Fullerton
32,Cal St. Northridge
249,California
34,Campbell
35,Canisius
256,Central Arkansas
36,Central Connecticut
37,Central Michigan
38,Charleston Southern
300,Charlotte
228,Chattanooga
39,Chicago St.
258,Cincinnati
40,Clemson
41,Cleveland St.
42,Coastal Carolina
43,Colgate
44,College of Charlesto
259,Colorado
46,Colorado St.
47,Columbia
260,Connecticut
48,Coppin St.
49,Cornell
50,Creighton
51,Dartmouth
52,Davidson
261,Dayton
53,DePaul
262,Delaware
54,Delaware St.
263,Denver
264,Detroit
55,Drake
56,Drexel
57,Duke
58,Duquesne
59,East Carolina
60,East Tennessee St.
61,Eastern Illinois
62,Eastern Kentucky
63,Eastern Michigan
64,Eastern Washington
65,Elon
265,Evansville
71,FIU
66,Fairfield
67,Fairleigh Dickinson
266,Florida
68,Florida A&M
69,Florida Atlantic
70,Florida Gulf Coast
72,Florida St.
73,Fordham
165,Fort Wayne
29,Fresno St.
74,Furman
75,Gardner Webb
76,George Mason
220,George Washington
77,Georgetown
267,Georgia
79,Georgia Southern
80,Georgia St.
78,Georgia Tech
81,Gonzaga
82,Grambling St.
83,Grand Canyon
331,Green Bay
84,Hampton
85,Harvard
268,Hawaii
86,High Point
87,Hofstra
45,Holy Cross
269,Houston
88,Houston Christian
89,Howard
94,IUPUI
270,Idaho
90,Idaho St.
271,Illinois
272,Illinois Chicago
91,Illinois St.
335,Incarnate Word
93,Indiana
92,Indiana St.
95,Iona
198,Iowa
96,Iowa St.
97,Jackson St.
99,Jacksonville
98,Jacksonville St.
100,James Madison
273,Kansas
101,Kansas St.
102,Kennesaw St.
103,Kent St.
274,Kentucky
112,LIU Brooklyn
114,LSU
104,La Salle
105,Lafayette
